date,score,total
2025-05-15,9,10
2025-05-16,10,10
2025-05-19,8,10
2025-05-21,7,10
2025-05-22,7,10
2025-05-23,7,10
2025-08-01,8,10
2025-08-04,8,10
2025-08-05,8,10
2025-08-06,8,10
2025-08-07,7,10
2025-08-08,9,10
2025-08-11,9,10
2025-08-12,9,10
2025-08-13,10,10
2025-08-14,5,10
2025-08-18,7,10
2025-08-19,5,10
2025-08-20,8,10
2025-08-21,6,10
2025-08-22,8,10
2025-08-25,9,10
2025-08-26,8,10
2025-08-27,6,10
2025-08-28,8,10
2025-09-01,7,10
2025-09-02,9,10
2025-09-03,10,10
2025-09-04,9,10
2025-09-05,8,10
2025-09-08,9,10
2025-09-09,9,10
2025-09-10,8,10
2025-09-11,10,10
2025-09-12,7,10
2025-09-15,9,10
2025-09-16,8,10
2025-09-17,10,10
2025-09-18,9,10
2025-09-19,8,10
2025-09-22,9,10
2025-09-23,8,10
2025-09-24,7,10
2025-09-25,8,10
2025-09-26,9,10
2025-09-29,6,10
2025-09-30,8,10
2025-10-01,12,14
2025-10-03,12,14
2025-10-06,12,14
2025-10-07,6,10
2025-10-08,9,12
2025-10-09,11,14
2025-10-10,8,14
2025-10-13,12,14
2025-10-14,10,14
2025-10-15,7,14
2025-10-17,12,14
2025-10-20,10,14
2025-10-21,9,14
2025-10-23,12,14
2025-10-27,11,14
2025-10-28,12,14
2025-10-29,9,14
2025-10-31,9,14
2025-11-03,10,14
2025-11-04,10,14
2025-11-05,9,14
2025-11-21,10,14
2025-11-28,10,14
2025-12-08,11,14
2025-12-11,9,14
2025-12-12,2,14
2025-12-19,9,14
2026-01-07,7,14
2026-02-23,8,14
2026-03-02,8,14
2026-03-03,12,14
2026-03-04,12,14
2026-03-05,14,14
